,best_week,pass_rate,min_cost
"[20,28)",12.5,1.0,6.25
"[28,32)",10.5,1.0,0.25
"[32,36)",11.5,0.8333333333333334,1.25
"[36,40)",11.5,0.5,2.25
40以上,11.5,1.0,0.75
